SITE,TAXON,N_TAXA,EXCLUDE,STRATA_R,INDEX.NAME,Collection.Date,GRIDS,log_c_t,Log.No.,PHYLUM,CLASS,ORDER,FAMILY,GENUS,OTHER_TAXA,TRIBE,FFG,FAM_TV,HABIT,FINALTOLVAL07
Site 1,ANTOCHA,2,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,,,Collector,4,cn,8
Site 1,CHEUMATOPSYCHE,1,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,,,Filterer,5,cn,6.5
Site 1,CLINOCERA,1,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Empididae,Clinocera,,,Predator,6,cn,7.4
Site 1,CRICOTOPUS,9,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Orthocladiinae,,Shredder,7,"cn, bu",9.6
Site 1,DIAMESA,2,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Chironomidae,Diamesa,Diamesinae,Diamesini,Collector,7,sp,8.5
Site 1,DICROTENDIPES,2,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Chironomidae,Dicrotendipes,Chironominae,Chironomini,Collector,7,bu,9
Site 1,HEMERODROMIA,1,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Empididae,Hemerodromia,Hemerodromiini,Hemerodromiini,Predator,6,"sp, bu",7.9
Site 1,HYDROBAENUS,1,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Chironomidae,Hydrobaenus,Orthocladiinae,,Scraper,7,sp,7.2
Site 1,HYDROPSYCHE,9,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,,,Filterer,5,cn,7.5
Site 1,MICROPSECTRA,2,FALSE,HIGHLAND,MBSS.2005.Bugs,3-Mar-00,1,R,47,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Chironominae,Tanytarsini,Collector,7,"cb, sp",2.1
