StationID	WaterbodyName	Location	Latitude	Longitude	SampleID	CollDate	Activity Category	Index.Name	Index.Region	FinalID	LifeStage	NonUnique	NonTarget	Count	Count_Original	OTU0	OTU1	OTU2	Phylum	SubPhylum	Class	SubClass	Order	SubOrder	Family	SubFamily	Tribe	Genus	SubGenus	Species	Variety	Rank	FFG	Habit	TolVal	Voltinism	BCG_Atr	TV_Urb	Invasive
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	NAIDIDAE	X	No	0	2	2				Annelida		Oligochaeta		Haplotaxida		Naididae							Family	col	bu	8.5		X	8.5	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	TUBIFICIDAE	X	No	0	18	18				Annelida		Oligochaeta		Tubificida		Tubificidae							Family	col	cn	8.4		X	8.4	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	HYALELLA	X	No	0	37	37				Arthropoda		Malacostraca		Amphipoda		Hyalellidae			Hyalella				Genus	shr	sp	4.2		X	4.2	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	CAECIDOTEA	X	No	0	8	8				Arthropoda		Malacostraca		Isopoda		Asellidae			Caecidotea				Genus	col	sp	2.6		X	2.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	CAENIS	X	No	0	4	4				Arthropoda		Insecta		Ephemeroptera		Caenidae			Caenis				Genus	col	sp	2.1		X	2.1	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	OECETIS	X	No	0	1	1				Arthropoda		Insecta		Trichoptera		Leptoceridae		Oecetini	Oecetis				Genus	pre	"cn, sp, cb"	4.7		X	4.7	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	CERATOPOGONIDAE	X	Yes	0	1	1				Arthropoda		Insecta		Diptera		Ceratopogonidae							Family	pre	"sp, bu"	3.6		X	3.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	SPHAEROMIAS	X	No	0	1	1				Arthropoda		Insecta		Diptera		Ceratopogonidae			Sphaeromias				Genus	pre	bu	3.6		X	3.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	CHIRONOMINI	X	Yes	0	5	5				Arthropoda		Insecta		Diptera		Chironomidae		Chironomini	Chironomini				Genus			5.9		X	5.9	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	DICROTENDIPES	X	No	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae		Chironomini	Dicrotendipes				Genus	col	bu	9		X	9	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	MICROTENDIPES	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae		Chironomini	Microtendipes				Genus	fil	cn	4.9		X	4.9	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	POLYPEDILUM	X	No	0	18	18				Arthropoda		Insecta		Diptera		Chironomidae		Chironomini	Polypedilum				Genus	shr	"cb, cn"	6.3		X	6.3	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	TANYTARSINI	X	Yes	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae		Tanytarsini					Tribe	col		3.5		X	3.5	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	TANYTARSUS	X	No	0	4	4				Arthropoda		Insecta		Diptera		Chironomidae		Tanytarsini	Tanytarsus				Genus	fil	"cb, cn"	4.9		X	4.9	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	CRICOTOPUS	X	No	0	6	6				Arthropoda		Insecta		Diptera		Chironomidae			Cricotopus				Genus	shr	"cn, bu"	9.6		X	9.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	DIPLOCLADIUS	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae			Diplocladius				Genus	col	sp	5.9		X	5.9	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	NANOCLADIUS	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae			Nanocladius				Genus	col	sp	7.6		X	7.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	ORTHOCLADIUS	X	No	0	3	3				Arthropoda		Insecta		Diptera		Chironomidae			Orthocladius				Genus	col	"sp, bu"	9.2		X	9.2	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	TANYPODINAE	X	Yes	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae			Tanypodinae				Genus	pre		7.5		X	7.5	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	CLINOTANYPUS	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae		Coelotanypodini	Clinotanypus				Genus	pre	bu	6.6		X	6.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	PARAMERINA	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae		Pentaneurini	Paramerina				Genus	pre	sp	6.6		X	6.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	PROCLADIUS	X	No	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae		Procladiini	Procladius				Genus	pre	sp	1.2		X	1.2	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	TANYPUS	X	No	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae		Tanypodini	Tanypus				Genus	pre		6.6		X	6.6	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	THIENEMANNIMYIA GROUP	X	No	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae			Thienemannimyia group				Genus	pre	sp	8.2		X	8.2	0
ABPG-204-R-2016					ABPG-204-R-2016	2016-03-21		MSW.1999.Bugs	COASTAL	TABANUS	X	No	0	1	1				Arthropoda		Insecta		Diptera		Tabanidae			Tabanus				Genus	pre	"sp, bu"	2.8		X	2.8	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	AMELETUS	X	No	0	2	2				Arthropoda		Insecta		Ephemeroptera		Ameletidae			Ameletus				Genus	col	"sw, cb"	2.6		X	2.6	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	LEPTOPHLEBIIDAE	X	No	0	2	2				Arthropoda		Insecta		Ephemeroptera		Leptophlebiidae							Family	col	"sw, cn"	1.7		X	1.7	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	EPHEMERELLA	X	No	0	7	7				Arthropoda		Insecta		Ephemeroptera		Ephemerellidae			Ephemerella				Genus	col	"cn, sw"	2.3		X	2.3	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	EPEORUS	X	No	0	26	26				Arthropoda		Insecta		Ephemeroptera		Heptageniidae			Epeorus				Genus	scr	cn	1.7		X	1.7	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	BAETIS	X	No	0	11	11				Arthropoda		Insecta		Ephemeroptera		Baetidae			Baetis				Genus	col	"sw, cb, cn"	3.9		X	3.9	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	HETEROCLOEON	X	No	0	1	1				Arthropoda		Insecta		Ephemeroptera		Baetidae			Heterocloeon				Genus	scr	"sw, cn"	5		X	5	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	SWELTSA	X	No	0	2	2				Arthropoda		Insecta		Plecoptera		Chloroperlidae			Sweltsa				Genus	pre	cn	1.9		X	1.9	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	LEUCTRA	X	No	0	6	6				Arthropoda		Insecta		Plecoptera		Leuctridae			Leuctra				Genus	shr	cn	0.4		X	0.4	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	AMPHINEMURA	X	No	0	25	25				Arthropoda		Insecta		Plecoptera		Nemouridae			Amphinemura				Genus	shr	"sp, cn"	3		X	3	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	ACRONEURIA	X	No	0	1	1				Arthropoda		Insecta		Plecoptera		Perlidae		Acroneuriini	Acroneuria				Genus	pre	cn	2.5		X	2.5	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	ISOPERLA	X	No	0	1	1				Arthropoda		Insecta		Plecoptera		Perlodidae			Isoperla				Genus	pre	"cn, sp"	2.4		X	2.4	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	CHEUMATOPSYCHE	X	No	0	1	1				Arthropoda		Insecta		Trichoptera		Hydropsychidae			Cheumatopsyche				Genus	fil	cn	6.5		X	6.5	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	DIPLECTRONA	X	No	0	6	6				Arthropoda		Insecta		Trichoptera		Hydropsychidae			Diplectrona				Genus	fil	cn	2.7		X	2.7	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	HYDROPSYCHE	X	No	0	2	2				Arthropoda		Insecta		Trichoptera		Hydropsychidae			Hydropsyche				Genus	fil	cn	7.5		X	7.5	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	NEOPHYLAX	X	No	0	3	3				Arthropoda		Insecta		Trichoptera		Uenoidae			Neophylax				Genus	scr	cn	2.7		X	2.7	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	WORMALDIA	X	No	0	1	1				Arthropoda		Insecta		Trichoptera		Philopotamidae			Wormaldia				Genus	fil	cn	1.8		X	1.8	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	MICROTENDIPES	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae		Chironomini	Microtendipes				Genus	fil	cn	4.9		X	4.9	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	POLYPEDILUM	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae		Chironomini	Polypedilum				Genus	shr	"cb, cn"	6.3		X	6.3	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	MICROPSECTRA	X	No	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae		Tanytarsini	Micropsectra				Genus	col	"cb, sp"	2.1		X	2.1	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	ORTHOCLADIINAE	X	Yes	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae			Orthocladiinae				Genus	col		7.6		X	7.6	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	BRILLIA	X	No	0	1	1				Arthropoda		Insecta		Diptera		Chironomidae			Brillia				Genus	shr	"bu, sp"	7.4		X	7.4	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	EUKIEFFERIELLA	X	No	0	4	4				Arthropoda		Insecta		Diptera		Chironomidae			Eukiefferiella				Genus	col	sp	6.1		X	6.1	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	DIAMESA	X	No	0	3	3				Arthropoda		Insecta		Diptera		Chironomidae		Diamesini	Diamesa				Genus	col	sp	8.5		X	8.5	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	SYMPOTTHASTIA	X	No	0	2	2				Arthropoda		Insecta		Diptera		Chironomidae		Diamesini	Sympotthastia				Genus	col	sp	8.2		X	8.2	0
ANTI-101-S-2016					ANTI-101-S-2016	2016-03-23		MSW.1999.Bugs	HIGHLAND	PROSIMULIUM	X	No	0	14	14				Arthropoda		Insecta		Diptera		Simuliidae		Prosimuliini	Prosimulium				Genus	fil	cn	2.4		X	2.4	0
