"Index.Name"	"SITE"	"DATE"	"TAXON"	"N_TAXA"	"N_GRIDS"	"EXCLUDE"	"strata_r"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Other_Taxa"	"Tribe"	"FFG"	"FAM_TV"	"Habit"	"FinalTolVal07"	"FinalTolVal08"
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"NAIDIDAE"	2	7	FALSE	"COASTAL"	"Annelida"	"Oligochaeta"	"Haplotaxida"	"Naididae"	""	""	""	"Collector"	10	"bu"	8.5	8.5
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"TUBIFICIDAE"	18	7	FALSE	"COASTAL"	"Annelida"	"Oligochaeta"	"Tubificida"	"Tubificidae"	""	""	""	"Collector"	10	"cn"	8.4	8.4
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"HYALELLA"	37	7	FALSE	"COASTAL"	"Arthropoda"	"Malacostraca"	"Amphipoda"	"Hyalellidae"	"Hyalella"	"Crustacea"	""	"Shredder"	8	"sp"	4.2	4.2
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"CAECIDOTEA"	8	7	FALSE	"COASTAL"	"Arthropoda"	"Malacostraca"	"Isopoda"	"Asellidae"	"Caecidotea"	"Crustacea"	""	"Collector"	8	"sp"	2.6	2.6
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"CAENIS"	4	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Ephemeroptera"	"Caenidae"	"Caenis"	""	""	"Collector"	7	"sp"	2.1	2.1
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"OECETIS"	1	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Trichoptera"	"Leptoceridae"	"Oecetis"	"Oecetini"	"Oecetini"	"Predator"	4	"cn, sp, cb"	4.7	4.7
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"CERATOPOGONIDAE"	1	7	TRUE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Ceratopogonidae"	""	""	""	"Predator"	6	"sp, bu"	3.6	3.6
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"SPHAEROMIAS"	1	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Ceratopogonidae"	"Sphaeromias"	""	""	"Predator"	6	"bu"	3.6	3.6
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"CHIRONOMINI"	5	7	TRUE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Chironomini"	"Chironominae"	"Chironomini"	""	7	""	5.9	5.9
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"DICROTENDIPES"	2	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Dicrotendipes"	"Chironominae"	"Chironomini"	"Collector"	7	"bu"	9	9
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"MICROTENDIPES"	1	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Microtendipes"	"Chironominae"	"Chironomini"	"Filterer"	7	"cn"	4.9	4.9
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"POLYPEDILUM"	18	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Polypedilum"	"Chironominae"	"Chironomini"	"Shredder"	7	"cb, cn"	6.3	6.3
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"TANYTARSINI"	1	7	TRUE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	""	"Chironominae"	"Tanytarsini"	"Collector"	7	""	3.5	3.5
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"TANYTARSUS"	4	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Tanytarsus"	"Chironominae"	"Tanytarsini"	"Filterer"	7	"cb, cn"	4.9	4.9
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"CRICOTOPUS"	6	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Cricotopus"	"Orthocladiinae"	""	"Shredder"	7	"cn, bu"	9.6	9.6
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"DIPLOCLADIUS"	1	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Diplocladius"	"Orthocladiinae"	""	"Collector"	7	"sp"	5.9	5.9
"MBSS.2005.Bugs"	"ABPG-204-R-2016"	2016-03-21	"NANOCLADIUS"	1	7	FALSE	"COASTAL"	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Nanocladius"	"Orthocladiinae"	""	"Collector"	7	"sp"	7.6	7.6
